cuda	mri512.raw/1 (serial)	mri512.raw/1 (parallel)	mri512.raw/1 (speedup)	mri512.raw/4 (serial)	mri512.raw/4 (parallel)	mri512.raw/4 (speedup)	mri512.raw/10 (serial)	mri512.raw/10 (parallel)	mri512.raw/10 (speedup)	mountain1024.raw/1 (serial)	mountain1024.raw/1 (parallel)	mountain1024.raw/1 (speedup)	mountain1024.raw/4 (serial)	mountain1024.raw/4 (parallel)	mountain1024.raw/4 (speedup)	mountain1024.raw/10 (serial)	mountain1024.raw/10 (parallel)	mountain1024.raw/10 (speedup)	mountain2048.raw/1 (serial)	mountain2048.raw/1 (parallel)	mountain2048.raw/1 (speedup)	mountain2048.raw/4 (serial)	mountain2048.raw/4 (parallel)	mountain2048.raw/4 (speedup)	mountain2048.raw/10 (serial)	mountain2048.raw/10 (parallel)	mountain2048.raw/10 (speedup)	mountain4096.raw/1 (serial)	mountain4096.raw/1 (parallel)	mountain4096.raw/1 (speedup)	mountain4096.raw/4 (serial)	mountain4096.raw/4 (parallel)	mountain4096.raw/4 (speedup)	mountain4096.raw/10 (serial)	mountain4096.raw/10 (parallel)	mountain4096.raw/10 (speedup)	mountain8192.raw/1 (serial)	mountain8192.raw/1 (parallel)	mountain8192.raw/1 (speedup)	mountain8192.raw/4 (serial)	mountain8192.raw/4 (parallel)	mountain8192.raw/4 (speedup)	mountain8192.raw/10 (serial)	mountain8192.raw/10 (parallel)	mountain8192.raw/10 (speedup)	mountain30000.raw/1 (serial)	mountain30000.raw/1 (parallel)	mountain30000.raw/1 (speedup)	mountain30000.raw/4 (serial)	mountain30000.raw/4 (parallel)	mountain30000.raw/4 (speedup)	mountain30000.raw/10 (serial)	mountain30000.raw/10 (parallel)	mountain30000.raw/10 (speedup)
1	0.020000	0.050000	0.4000	0.100000	0.040000	2.5000	0.260000	0.040000	6.5000	0.130000	0.040000	3.2500	0.500000	0.040000	12.5000	1.160000	0.050000	23.2000	0.490000	0.050000	9.8000	1.890000	0.060000	31.5000	4.560000	0.090000	50.6667	1.860000	0.080000	23.2500	7.350000	0.160000	45.9375	18.160000	0.230000	78.9565	7.070000	0.150000	47.1333	28.160000	0.320000	88.0000	70.320000	0.660000	106.5455	84.770000	1.300000	65.2077	337.390000	3.340000	101.0150	842.390000	7.380000	114.1450
2	0.046610	0.117145	0.3979	0.147668	0.113239	1.3040	0.342975	0.109830	3.1228	0.171644	0.111025	1.5460	0.601452	0.136505	4.4061	1.400105	0.109082	12.8353	0.605967	0.113329	5.3470	2.345638	0.128615	18.2377	5.471233	0.130450	41.9412	2.277463	0.156612	14.5421	8.934192	0.156359	57.1390	22.522744	0.178432	126.2259	8.666527	0.186043	46.5835	34.306266	0.197660	173.5620	85.269478	0.213601	399.1998	103.575845	0.546461	189.5393	411.375188	0.764913	537.8065	1027.175256	1.245922	824.4298
